,addr,loc,d_hub
0,"3111 subhash nagar ,gurgaon behind state bank of  patiala near rajvanshi hotel,, subhash nagar,  - - -","[28.464536,77.0232542]",b1b3de810f1d46619cd868a470ab831c
1,"B32 Carlton estate 1 DLF phase 5 122009, Dlf phase 5 carlton estate 1 - - -","[28.4476783,77.0939654]",48b6dba5107b422fb17325c85021dd4f
2,"HNO-1361, LAXMANVIHAR PHASE-1 Tel:8178203429 - - - GURGAON","[28.45060518,77.03513871]",b1b3de810f1d46619cd868a470ab831c
3,25 acharypuri opp ganga apartment - - gurugram,"[28.46705306941655,77.03372778437125]",b1b3de810f1d46619cd868a470ab831c
4,"NEHA GARG A-140 , SUSHANT LOK 1 ,NEAR MG ROAD METRO STATION - GURGAON","[28.47559833333333,77.078655]",48b6dba5107b422fb17325c85021dd4f
5,25 acharypuri opp ganga apartment  - - gurugram,"[28.46705306941655,77.03372778437125]",b1b3de810f1d46619cd868a470ab831c
6,"House number1057,sector14,Gurugram,Haryana - - - Gurgaon","[28.4859103,77.0195092]",b1b3de810f1d46619cd868a470ab831c
7,"House No. 1633 block-C, Palam Vih - Gurgaon - Gurgaon","[28.50427754,77.02911899]",b1b3de810f1d46619cd868a470ab831c
8,A902 Lord Krishna CGHS SECTOR 43DLF Phase 4 - Gurugram - Gurugram,"[28.4512372,77.0915204]",48b6dba5107b422fb17325c85021dd4f
9,"1111-P, Swarn Jayanti Block, Urban Estate, Sector- 4, Gurgaon, Sector-4 - - Gurgaon","[28.472815947120495,77.01040850184049]",b1b3de810f1d46619cd868a470ab831c
10,Shantikunj House No 13-csector - Gurugram - Gurugram,"[28.47204029560089,77.05166280269623]",b1b3de810f1d46619cd868a470ab831c
11,"603 tower 1, the close north, nirvana country, sec tor 50, Gurgaon,, Gurgaon South City II, - - -","[28.41409992,77.06884204]",550789510924496fb451b653cabc626f
12,"38413, Jacobpura, Near Ramlela Ground, New Railwa y Road, - - -","[28.4640685,77.0250183]",b1b3de810f1d46619cd868a470ab831c
13,"House no 40928, Street no 7Jyoti park, Near Ashir wad marriage palace - - Gurgaon","[28.4620959,77.0121127]",b1b3de810f1d46619cd868a470ab831c
14,Flat 203 Tower 9 Marigold Tower Sush - Gurugram - Gurugram,"[28.48661114,77.06265394]",48b6dba5107b422fb17325c85021dd4f
15,"4707A , flat no. 402 sector 23A, Carterpuri - - - -","[28.5062985,77.0416418]",b1b3de810f1d46619cd868a470ab831c
16,"108 first floor janpratinidhi apartment sector 28, 108 first floor janpratinindhi apparents  sector - - -","[28.4675452,77.0811043]",48b6dba5107b422fb17325c85021dd4f
17,KULBEERDANGI HOUSENO-1227SURVIHAR2NDFLOORSE CTOR -15PART-2 - GURUGRAM,"[28.4617113,77.0450884]",b1b3de810f1d46619cd868a470ab831c
18,825 Sector 14 - - - Gurgaon,"[28.475516438484192,77.04868018627167]",b1b3de810f1d46619cd868a470ab831c
19,"HITESH CHOUDHARY 168-B, NEW COLONYNEAR DUSHERA GROUND - GURUGRAM","[28.45555333706083,77.05054440421327]",a67a898ec4f4482bb79ee39293c330e9
20,"13055, 2nd floor, care of- jaipal singh, patel na gar, opposite to sunrise public school, Patel naga - - -","[28.4710968,77.0486671]",b1b3de810f1d46619cd868a470ab831c
21,"SHRADHA BHARTI HOUSE NO 604, GATE NO A2, SECTOR 23, GURGAON, NEAR - GURGAON","[28.51102671,77.04538535]",a67a898ec4f4482bb79ee39293c330e9
22,MAMTAGUPTA D1112AFIRSTFLOOREXCLUSIVEFLOOR SDLF PHASE5 - GURGAON,"[28.4571634,77.094271]",48b6dba5107b422fb17325c85021dd4f
23,APH01-220V HOUSE NO. 1188 SECTOR 15 PART II NEAR 32 ND MILEATONE - GURGAON,"[28.4607675,77.0438154]",b1b3de810f1d46619cd868a470ab831c
24,"Vatika city. Primrose 129. Sohna road. Sector 49, Gurgaon South City II, - - -","[28.40495,77.047321]",be7261b61da149aa805e10f395c46ed3
25,"Basement 611-A, Sector 38Tel:9829983888 - - - Gurgaon","[28.4332475,77.0469229]",be7261b61da149aa805e10f395c46ed3
26,CHAMPAKABINDIGENAVILE D333RDFLOORDLFPINNACLEDLFPHASE 5SEC TOR43 - GURGAON,"[28.45366333333333,77.09620666666666]",48b6dba5107b422fb17325c85021dd4f
27,AMRITH KAUR CHAHAL ANSALS ESENCIA SECTOR 67 HOUSE NR C1143.GROUND FLOOR - GURUGRAM,"[28.381413,77.0601571]",be7261b61da149aa805e10f395c46ed3
