,addr,loc,d_hub
0, dera mandi new delhi delhi 110074 ,"[28.4264742820455,77.18220586354519]",POWERGRID
1,road no.2 silver oak farms anand gram ghitorni new delhi delhi 110030 ,"[28.496750477323907,77.13419136077341]",POWERGRID
2, hasanpur delhi 110073 ,"[28.556386677797597,76.94076637499296]",POWERGRID
3,33 feet road mandi new delhi delhi 110047 ,"[28.437791546645897,77.14528256351286]",POWERGRID
4,maidawas rd medawas sector 65 gurugram  122005 ,"[28.398723582839985,77.07650634286293]",POWERGRID
5,sohna rd  122103 ,"[28.33442813316798,77.06728977031443]",POWERGRID
6, 122102 ,"[28.328563251884134,77.09587830922324]",POWERGRID
7, isapur khera dwarka delhi 110061 ,"[28.53597604973075,77.02650221770169]",POWERGRID
8, nimot  122102 ,"[28.265829083886565,77.15887993394286]",POWERGRID
9,ssn marg bhatti kalan new delhi delhi 110074 ,"[28.427422111023375,77.22153336528635]",POWERGRID
10, 122102 ,"[28.258275815799127,77.04758683292182]",POWERGRID
11, sector 27 dwarka bijwasan new delhi delhi 110061 ,"[28.532825959724782,77.04647568408139]",POWERGRID
12,chopra cghs 524 plot no 8 sector 23 dwarka delhi 110075 ,"[28.589258281609194,77.04805952223172]",POWERGRID
13,sehsaula  ,"[28.22464376937964,77.03698394593378]",POWERGRID
14, dalmia vihar bijwasan new delhi delhi 110061 ,"[28.53514251433372,77.06000486988293]",POWERGRID
15, sector 45 gurugram  122003 ,"[28.446671820593455,77.06934617575264]",POWERGRID
16,sohna-mandkola rd durga colony jakhopur  122103 ,"[28.23417415792676,77.07581025672616]",POWERGRID
17,block e aya nagar extension aya nagar new delhi delhi ,"[28.459561489747053,77.13061601894137]",POWERGRID
18,doper ki dhani rd  ,"[28.296119666185252,76.9796255976429]",POWERGRID
19,damdama lake rd behlpa  122102 ,"[28.33145951508093,77.11130745396854]",POWERGRID
20,nh919 sohna  122103 ,"[28.24478615860265,77.05928261289831]",POWERGRID
21, tikli  122103 ,"[28.361965736527374,77.01816526957523]",POWERGRID
22,gali number 12 block e shyam vihar phase-1 najafgarh delhi 110043 ,"[28.597120998377648,76.99785280619314]",POWERGRID
23,2 sultanpur farms prakriti marg off mandi rd new delhi 110030 ,"[28.48454596109518,77.15819454108777]",POWERGRID
24, harsaru sector 88 gurugram  122004 ,"[28.424259039398873,76.95419053884349]",POWERGRID
25,mahima farm house kanganheri delhi 110043 ,"[28.55185457069769,76.97292435924504]",POWERGRID
26, sector 95 dhorka  122051 ,"[28.410502468190483,76.90570172773273]",POWERGRID
27,tatarpur rd kharkhari tatarpur  122413 ,"[28.342828600699047,76.86371572472724]",POWERGRID
28,  122102 ,"[28.353485473038987,77.12522686968852]",POWERGRID
29, chandla dungerwas  122413 ,"[28.305001321357956,76.8913281634015]",POWERGRID
30, balola  122102 ,"[28.41245908440134,77.1294738700269]",POWERGRID
31,main road ghalibpur delhi 110073 ,"[28.522087440709637,76.88806609518629]",POWERGRID
32,mdr137 gwal pahari bandhwari  122005 ,"[28.421997841398206,77.14747196413639]",POWERGRID
33,daulatabad link rd sector 103 gurugram  122006 ,"[28.49536194886863,76.98445062822094]",POWERGRID
34,opp.gali no 13 near radha soami satsang bhawan pataudi rd gurugram  122001 ,"[28.451399057764743,77.00357257958373]",POWERGRID
35, mangar  121004 ,"[28.388080150684612,77.16410300033039]",POWERGRID
36,  122413 ,"[28.315172020999235,76.85979900760549]",POWERGRID
37, gurugram  122103 ,"[28.32806510424795,76.9646813004045]",POWERGRID
38,the meadow designed by horizon design studio architects sector 67 gurugram  122005 ,"[28.38387561954661,77.06313830718439]",POWERGRID
